BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
62,9800,1,0.292226
62,9800,2,0.470055
62,9800,3,0.360378
62,9800,4,0.560101
62,9800,5,0.334466
62,9800,6,0.298452
62,10000,1,0.496724
62,10000,2,0.511029
62,10000,3,0.564663
62,10000,4,0.314400
62,10000,5,0.667819
62,10000,6,0.122996
66,1000,1,1.211592
66,1000,2,1.212972
66,1000,3,1.213679
66,1000,4,1.211445
66,1000,5,0.653087
66,1000,6,0.752324
66,1200,1,0.661516
66,1200,2,1.213060
66,1200,3,0.659883
66,1200,4,0.215353
66,1200,5,1.198711
66,1200,6,1.196457
66,1400,1,0.757885
66,1400,2,1.213831
66,1400,3,0.566154
66,1400,4,1.199259
66,1400,5,1.201018
66,1400,6,0.559433
66,1600,1,0.774142
66,1600,2,0.756463
66,1600,3,1.212826
66,1600,4,0.460696
66,1600,5,1.213503
66,1600,6,0.205421
66,1800,1,0.777911
66,1800,2,0.657679
66,1800,3,1.204476
66,1800,4,0.488863
66,1800,5,0.205193
66,1800,6,0.657320
66,2000,1,0.135771
66,2000,2,0.486939
66,2000,3,0.554540
66,2000,4,0.553583
66,2000,5,0.632616
66,2000,6,0.410884
66,2200,1,0.763522
